COUNTYFIPS,NAMELSAD,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
27097,Morrison County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20049,Elk County,Kansas,10.3,28.34836919,21.3,20.8,18.51346303
29017,Bollinger County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40047,Garfield County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48373,Polk County,Texas,9.5,37.55532557,18,26.2,5.029908064
54097,Upshur County,West Virginia,10.2,57.48330172,21.5,29.3,3.403785062
1065,Hale County,Alabama,10.4,25.72969543,25.7,34.8,6.976491257
22081,Red River Parish,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17189,Washington County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19021,Buena Vista County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20017,Chase County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13043,Candler County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39069,Henry County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13075,Cook County,Georgia,9.5,60.56239833,26,21.7,0.776539547
48221,Hood County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51630,Fredericksburg city,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51025,Brunswick County,Virginia,9.7,7.577148101,26.6,32.2,10.06511364
72087,Lo¨ªza Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29001,Adair County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13319,Wilkinson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48069,Castro County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45037,Edgefield County,South Carolina,10.7,50.30943117,25.8,35.3,12.06659285
10003,New Castle County,Delaware,9.5,94.17173186,23.8,30.4,6.022437016
19051,Davis County,Iowa,9.5,41.26585171,21.9,22.2,3.328594623
20121,Miami County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31103,Keya Paha County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35035,Otero County,New Mexico,9.1,49.09948744,21.5,31.1,7.901750532
37167,Stanly County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1015,Calhoun County,Alabama,12.9,49.15747394,27.8,39.2,15.398073
5057,Hempstead County,Arkansas,10.6,57.11000044,21.5,24,16.10888281
17005,Bond County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18045,Fountain County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27053,Hennepin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20081,Haskell County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37027,Caldwell County,North Carolina,12.2,62.04940443,25.1,33,15.36831423
40153,Woodward County,Oklahoma,10.1,70.28036452,27.4,28.5,6.818004452
47075,Haywood County,Tennessee,11.9,42.64651089,21.2,30,10.90747264
42025,Carbon County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56031,Platte County,Wyoming,9.3,74.31637245,18.5,25.4,4.342730286
40099,Murray County,Oklahoma,9.5,72.71648873,22.9,24.1,5.710480486
31079,Hall County,Nebraska,9.6,84.58887164,26.6,36.5,7.03707593
36083,Rensselaer County,New York,8.8,59.57009076,20.2,29.2,4.096446579
37129,New Hanover County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28115,Pontotoc County,Mississippi,10.8,39.37977768,27.9,32.8,6.165578423
48195,Hansford County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48311,McMullen County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5027,Columbia County,Arkansas,13.6,43.32029977,27.5,35.6,8.611896599
13105,Elbert County,Georgia,8.8,35.71853615,19.3,22.7,10.40057239
17083,Jersey County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31145,Red Willow County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19107,Keokuk County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17035,Cumberland County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13161,Jeff Davis County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13199,Meriwether County,Georgia,8.9,35.46744271,23.5,27,1.218915681
13257,Stephens County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13283,Treutlen County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13289,Twiggs County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8091,Ouray County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40105,Nowata County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37077,Granville County,North Carolina,9.1,38.32031511,17.8,21.6,8.457735483
51600,Fairfax city,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51620,Franklin city,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20015,Butler County,Kansas,9,63.5154827,24.8,35,6.518217066
11001,District of Columbia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6087,Santa Cruz County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48271,Kinney County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
54023,Grant County,West Virginia,11.7,52.14040379,21.2,30.3,5.214387197
28069,Kemper County,Mississippi,9,0.918133129,17,28.2,23.97014687
32015,Lander County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72015,Arroyo Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27035,Crow Wing County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38007,Billings County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20159,Rice County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26031,Cheboygan County,Michigan,9.1,48.39782808,20.4,27.6,3.873383126
17183,Vermilion County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28045,Hancock County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5111,Poinsett County,Arkansas,11.7,8.949273889,27.1,29.5,10.32565789
12091,Okaloosa County,Florida,10.3,74.23709504,26.8,26.2,11.1042411
53069,Wahkiakum County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72017,Barceloneta Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55137,Waushara County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28057,Itawamba County,Mississippi,11.8,36.8659459,26.2,31,6.605793884
21041,Carroll County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37123,Montgomery County,North Carolina,9.2,70.04820491,17.4,23.5,6.864855527
56045,Weston County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39139,Richland County,Ohio,10.8,65.02912231,29.1,34.9,13.63021819
31171,Thomas County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45027,Clarendon County,South Carolina,10.9,38.24311572,26.5,35.4,7.272737239
36085,Richmond County,New York,9.8,95.37132251,23.7,29.1,0.156763531
21215,Spencer County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48209,Hays County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36117,Wayne County,New York,10.8,54.26246641,28.8,36.6,1.942348449
72031,Carolina Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37117,Martin County,North Carolina,10,31.95674352,20.2,26.8,3.983355821
20029,Cloud County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46005,Beadle County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18161,Union County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20033,Comanche County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51077,Grayson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13023,Bleckley County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26147,St. Clair County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26047,Emmet County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72009,Aibonito Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38011,Bowman County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18069,Huntington County,Indiana,11.3,59.81036526,20.6,33.2,9.739058795
19115,Louisa County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17141,Ogle County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20089,Jewell County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20143,Ottawa County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20201,Washington County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40125,Pottawatomie County,Oklahoma,12.1,55.35986867,27.1,32,8.821926302
47127,Moore County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40023,Choctaw County,Oklahoma,11.6,21.34166393,24.9,27.1,21.08263974
40091,McIntosh County,Oklahoma,11.2,29.33537428,23.1,25.2,6.644692605
40127,Pushmataha County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51155,Pulaski County,Virginia,9.3,66.04439092,27.6,27.2,3.903199645
51185,Tazewell County,Virginia,10.5,59.94276587,31.1,37.5,8.283009361
54095,Tyler County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
54049,Marion County,West Virginia,11.6,55.72157822,25,35.2,5.129231028
47011,Bradley County,Tennessee,11.4,68.30835767,25.3,34.2,12.3687717
26141,Presque Isle County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29157,Perry County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51800,Suffolk city,Virginia,11.5,71.32352072,22.2,32.4,3.872144659
48461,Upton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48259,Kendall County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5009,Boone County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20019,Chautauqua County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48159,Franklin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1093,Marion County,Alabama,9.7,40.17416168,23.7,30.2,1.03100843
40073,Kingfisher County,Oklahoma,9,49.8736198,25.4,28.7,4.116712321
48149,Fayette County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42013,Blair County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42021,Cambria County,Pennsylvania,9.5,70.16265425,22,25.2,6.345585631
48025,Bee County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46073,Jerauld County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46099,Minnehaha County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24047,Worcester County,Maryland,9.4,78.52645081,23.2,35.1,6.031039902
48133,Eastland County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48103,Crane County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19063,Emmet County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19077,Guthrie County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48125,Dickens County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26081,Kent County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27067,Kandiyohi County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27079,Le Sueur County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51540,Charlottesville city,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19083,Hardin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13037,Calhoun County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20193,Thomas County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8105,Rio Grande County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19137,Montgomery County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8115,Sedgwick County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31155,Saunders County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13311,White County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13175,Laurens County,Georgia,13.2,43.29190238,29.5,30.7,9.711614288
2016,Aleutians West Census Area,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39129,Pickaway County,Ohio,9.5,76.19663184,20.2,30.9,3.032953754
39131,Pike County,Ohio,12.1,27.95638998,28.8,37,1.398214635
29061,Daviess County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48337,Montague County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48165,Gaines County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13109,Evans County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19151,Pocahontas County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34015,Gloucester County,New Jersey,9.5,78.44065657,27.3,32.4,6.468941747
26103,Marquette County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38069,Pierce County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27065,Kanabec County,Minnesota,9,29.23825359,22.4,26.5,4.305796873
48129,Donley County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42011,Berks County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46059,Hand County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46071,Jackson County,South Dakota,11.3,1.088749588,27.7,34,45.84776591
19027,Carroll County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26065,Ingham County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6047,Merced County,California,11.3,76.03804639,26.7,34.1,7.711543186
19113,Linn County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31001,Adams County,Nebraska,9.2,75.31883688,24,36.6,12.1812124
13135,Gwinnett County,Georgia,9.7,80.20006929,24.9,31.5,9.708332071
6049,Modoc County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13015,Bartow County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13191,McIntosh County,Georgia,11.2,28.82857741,18.5,22.6,5.930980375
13281,Towns County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48197,Hardeman County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42005,Armstrong County,Pennsylvania,10.9,71.49011474,27,36.4,2.047729955
17137,Morgan County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19039,Clarke County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13021,Bibb County,Georgia,14,58.70315725,27.7,33.7,13.06022215
72121,Sabana Grande Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19163,Scott County,Iowa,9.1,85.75812231,20.9,34.6,3.453075539
20117,Marshall County,Kansas,9.2,7.304536918,21.5,34.4,12.87739676
36023,Cortland County,New York,9.2,75.79657856,23.2,32.1,4.311292515
48477,Washington County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
54013,Calhoun County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
54021,Gilmer County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48267,Kimble County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8059,Jefferson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17039,De Witt County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22073,Ouachita Parish,Louisiana,12.3,69.38004163,28,40,15.44380333
47023,Chester County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48033,Borden County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28075,Lauderdale County,Mississippi,9.5,60.08273009,27.6,34,17.34433421
26107,Mecosta County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31167,Stanton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55121,Trempealeau County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29075,Gentry County,Missouri,9.3,30.4096171,21.5,22.4,9.68683183
35011,De Baca County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20139,Osage County,Kansas,12,50.98496471,26,37.9,5.058794529
18133,Putnam County,Indiana,11.2,50.59136528,24.2,25.3,3.539119526
21225,Union County,Kentucky,9.7,52.74871727,23.6,31.6,19.97722238
45061,Lee County,South Carolina,12.4,36.00416233,30.4,33.6,2.832636262
18171,Warren County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19175,Union County,Iowa,11.2,78.31498325,20.5,30.3,5.899898647
19011,Benton County,Iowa,9.1,40.08666974,20.8,33.4,4.280114832
51057,Essex County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41029,Jackson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42067,Juniata County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34019,Hunterdon County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48163,Frio County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37071,Gaston County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26127,Oceana County,Michigan,9.3,79.251035,16.3,31.8,4.370293669
48013,Atascosa County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19045,Clinton County,Iowa,8.9,61.84339116,24.3,31.3,8.351933489
17037,DeKalb County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26067,Ionia County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29173,Ralls County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13035,Butts County,Georgia,9.7,41.83893469,17.5,18.9,8.54641648
19149,Plymouth County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8043,Fremont County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48257,Kaufman County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13027,Brooks County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72127,San Juan Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17135,Montgomery County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72001,Adjuntas Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
54005,Boone County,West Virginia,15.7,1.477932519,26.9,40.3,3.288461187
12117,Seminole County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13131,Grady County,Georgia,11.2,49.48222782,22.9,26,1.381008382
46105,Perkins County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1059,Franklin County,Alabama,9.5,52.14799394,27.4,30.1,5.735104648
48147,Fannin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42121,Venango County,Pennsylvania,9.2,64.82249382,21,28.5,1.955630136
55067,Langlade County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17127,Massac County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12095,Orange County,Florida,8.9,91.37026203,24,28.2,7.18006162
42023,Cameron County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51173,Smyth County,Virginia,9.6,88.30414804,26.5,23.6,1.149394083
28009,Benton County,Mississippi,10,67.64806965,17.1,24.1,16.9567968
26021,Berrien County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17047,Edwards County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40133,Seminole County,Oklahoma,10,49.90189153,26,30.1,12.21222266
72091,Manat¨ª Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18115,Ohio County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8005,Arapahoe County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20053,Ellsworth County,Kansas,9.2,61.05895029,24.8,31,10.82334512
48065,Carson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20025,Clark County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28087,Lowndes County,Mississippi,13.2,58.10401646,23.9,34.7,14.7786359
29069,Dunklin County,Missouri,12.4,48.02365975,38.8,37.8,5.396773069
31097,Johnson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34021,Mercer County,New Jersey,9.3,96.9856458,24.3,27,3.669639075
45091,York County,South Carolina,9.7,69.66776218,20.8,31.3,8.52956709
21087,Green County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31165,Sioux County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19081,Hancock County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17097,Lake County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5051,Garland County,Arkansas,10.2,71.01557944,22.9,26.8,10.65407406
18065,Henry County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29175,Randolph County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18055,Greene County,Indiana,11.1,39.48741143,31.3,37.1,5.971648064
20021,Cherokee County,Kansas,11.1,30.24117021,25,33.2,17.92753884
18011,Boone County,Indiana,8.8,73.62111582,21,23.8,2.46502842
31137,Phelps County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20153,Rawlins County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48433,Stonewall County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36107,Tioga County,New York,9.2,48.88801956,21.8,29,1.060449335
31183,Wheeler County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31077,Greeley County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51197,Wythe County,Virginia,9,72.58765179,22.5,30.2,4.43861755
29089,Howard County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18141,St. Joseph County,Indiana,9.5,74.35779284,23.2,34,8.158716695
48419,Shelby County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40137,Stephens County,Oklahoma,11.1,57.80056828,25,34.2,8.550608006
35047,San Miguel County,New Mexico,10.5,55.21722859,23.4,29.8,22.67533107
29101,Johnson County,Missouri,9,44.37874323,26.8,31.3,11.55360583
31003,Antelope County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22079,Rapides Parish,Louisiana,13.5,72.3218831,28.3,35.7,19.12606454
48071,Chambers County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19147,Palo Alto County,Iowa,8.9,53.79471394,23.1,27.9,7.142982185
47187,Williamson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41033,Josephine County,Oregon,8.8,69.00245427,19.9,30.1,9.113644926
18023,Clinton County,Indiana,11.6,58.41861305,28.7,33,1.180536872
29221,Washington County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39155,Trumbull County,Ohio,9.2,62.66879684,26.9,36.4,11.29064176
31163,Sherman County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21199,Pulaski County,Kentucky,11.2,56.76387105,30,36.6,7.894081031
26025,Calhoun County,Michigan,11.4,66.79079811,25,36.1,11.39834448
17117,Macoupin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38021,Dickey County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56033,Sheridan County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37085,Harnett County,North Carolina,12.1,45.4333002,20.8,29.7,6.566129415
38077,Richland County,North Dakota,9.1,54.12658538,23.5,33.9,5.360377864
20051,Ellis County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51660,Harrisonburg city,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5119,Pulaski County,Arkansas,10.8,76.32802784,24.4,33.6,12.88145541
72049,Culebra Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20087,Jefferson County,Kansas,8.8,31.55390568,18.3,32.4,0.339721376
36087,Rockland County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36039,Greene County,New York,8.8,61.63019849,23.7,30.8,1.965435066
29085,Hickory County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27121,Pope County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37015,Bertie County,North Carolina,11.4,25.60379664,22.7,33.6,24.48535514
18091,LaPorte County,Indiana,12,65.4265388,27.1,35.4,8.331322287
19135,Monroe County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45063,Lexington County,South Carolina,9.8,62.58332031,22.9,30.5,8.658863582
51097,King and Queen County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48161,Freestone County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26039,Crawford County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22061,Lincoln Parish,Louisiana,9.3,44.87429122,29.6,25.2,19.39869824
31179,Wayne County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37125,Moore County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45001,Abbeville County,South Carolina,12.1,59.75134752,24.3,32.2,8.829011729
46047,Fall River County,South Dakota,9.2,87.32731886,18.9,29.5,12.45678065
24510,Baltimore city,Maryland,12.4,98.16993338,24.2,34.7,1.81111009
47101,Lewis County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8081,Moffat County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13301,Warren County,Georgia,8.9,No Data,17.5,18.6,1.241727689
13209,Montgomery County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5107,Phillips County,Arkansas,13.6,54.35951648,31.3,39.6,18.93565767
27113,Pennington County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8067,La Plata County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39059,Guernsey County,Ohio,9.5,42.33292589,26.1,32.5,12.51073954
5061,Howard County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40009,Beckham County,Oklahoma,9.4,59.41046159,21.4,26.6,7.848346812
40039,Custer County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26135,Oscoda County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40021,Cherokee County,Oklahoma,11.3,54.61297806,26.3,31.9,14.03971721
40087,McClain County,Oklahoma,9.3,50.22604764,25.7,31.3,3.390714827
51031,Campbell County,Virginia,11.3,43.34451698,27.2,35.7,2.23197036
19005,Allamakee County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48301,Loving County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48253,Jones County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5103,Ouachita County,Arkansas,11.1,47.85604901,27.9,32.9,18.14914708
37103,Jones County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12073,Leon County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8011,Bent County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28141,Tishomingo County,Mississippi,10.2,46.08788853,26.9,30,No Data
28131,Stone County,Mississippi,8.9,62.84718318,16.8,24.6,12.57926592
38039,Griggs County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13085,Dawson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48121,Denton County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28139,Tippah County,Mississippi,12.1,49.60417416,31.4,31.4,1.853507963
13223,Paulding County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27081,Lincoln County,Minnesota,9.1,37.39823609,17.9,24.1,2.925569774
39079,Jackson County,Ohio,14.3,44.82768999,31.3,40.3,2.582561229
31007,Banner County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18013,Brown County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72139,Trujillo Alto Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19133,Monona County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
30031,Gallatin County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42015,Bradford County,Pennsylvania,8.8,54.1982051,26.5,36.3,4.720460222
